station,Docked_Rent_15_1,Docked_Rent_15_2,Docked_Rent_15_3,Docked_Rent_15_4,Docked_Rent_15_5,Docked_Rent_15_6,Docked_Rent_15_7,Docked_Rent_15_8,Docked_Rent_15_9,Docked_Rent_15_10,Docked_Rent_15_11,Docked_Rent_15_12,Docked_Return_15_1,Docked_Return_15_2,Docked_Return_15_3,Docked_Return_15_4,Docked_Return_15_5,Docked_Return_15_6,Docked_Return_15_7,Docked_Return_15_8,Docked_Return_15_9,Docked_Return_15_10,Docked_Return_15_11,Docked_Return_15_12,Docked_Rent_30_1,Docked_Rent_30_2,Docked_Rent_30_3,Docked_Rent_30_4,Docked_Rent_30_5,Docked_Rent_30_6,Docked_Return_30_1,Docked_Return_30_2,Docked_Return_30_3,Docked_Return_30_4,Docked_Return_30_5,Docked_Return_30_6,Docked_Rent_45_1,Docked_Rent_45_2,Docked_Rent_45_3,Docked_Rent_45_4,Docked_Return_45_1,Docked_Return_45_2,Docked_Return_45_3,Docked_Return_45_4,Docked_Rent_60_1,Docked_Rent_60_2,Docked_Rent_60_3,Docked_Return_60_1,Docked_Return_60_2,Docked_Return_60_3
11271,0,0,0,0,1,2,1,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,4,1,0,0,0,1,0,0,0,3,4,2,0,0,1,0,0,4,5,0,1,0
11272,0,0,0,0,0,1,1,2,3,3,2,0,0,1,0,0,0,2,0,2,2,2,2,2,0,0,1,3,6,2,1,0,2,2,4,4,0,1,6,5,1,2,4,6,0,4,8,1,4,8
13001,0,1,0,0,1,0,2,0,1,2,1,2,0,0,0,1,1,2,0,0,3,0,2,1,1,0,1,2,3,3,0,1,3,0,3,3,1,1,3,5,0,4,3,3,1,3,6,1,3,6
13002,0,0,4,3,4,1,4,4,3,1,5,4,0,0,0,0,0,1,2,6,9,12,14,10,0,7,5,8,4,9,0,0,1,8,21,24,4,8,11,10,0,1,17,36,7,13,13,0,9,45
13003,1,0,0,0,1,3,1,1,1,2,0,1,0,0,1,0,2,3,2,2,2,6,1,4,1,0,4,2,3,1,0,1,5,4,8,5,1,4,3,3,1,5,6,11,1,6,4,1,9,13
13004,0,0,0,0,3,0,4,7,8,5,7,3,0,1,0,2,3,1,3,6,1,2,6,1,0,0,3,11,13,10,1,2,4,9,3,7,0,3,19,15,1,6,10,9,0,14,23,3,13,10
13005,0,0,1,0,1,0,3,4,3,6,5,5,0,0,4,6,2,1,2,0,1,0,1,3,0,1,1,7,9,10,0,10,3,2,1,4,1,1,10,16,4,9,3,4,1,8,19,10,5,5
13006,0,1,0,0,0,0,0,0,3,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,3,2,1,0,0,1,1,1,1,0,3,2,1,0,1,2,1,0,5,1,1,2
13007,0,0,1,1,0,1,2,1,0,2,1,2,0,0,1,1,1,0,0,1,0,0,2,1,0,2,1,3,2,3,0,2,1,1,0,3,1,2,3,5,1,2,1,3,2,4,5,2,2,3
13009,0,2,1,0,1,2,0,1,2,3,3,5,0,1,0,0,0,2,3,0,1,4,6,4,2,1,3,1,5,8,1,0,2,3,5,10,3,3,3,11,1,2,4,14,3,4,13,1,5,15
13010,1,2,5,2,0,1,4,3,5,5,6,7,0,0,2,0,2,5,1,5,5,4,6,7,3,7,1,7,10,13,0,2,7,6,9,13,8,3,12,18,2,7,11,17,10,8,23,2,13,22
13011,0,0,0,0,0,1,1,0,1,1,2,1,0,1,1,1,0,3,1,5,6,5,7,3,0,0,1,1,2,3,1,2,3,6,11,10,0,1,2,4,2,4,12,15,0,2,5,3,9,21
13012,1,0,1,0,1,1,2,0,4,3,4,2,0,0,0,1,2,1,2,4,4,6,2,1,1,1,2,2,7,6,0,1,3,6,10,3,2,2,6,9,0,4,10,9,2,4,13,1,9,13
13013,0,0,11,4,6,3,3,4,9,15,5,4,0,1,5,5,2,4,5,2,7,6,3,3,0,15,9,7,24,9,1,10,6,7,13,6,11,13,16,24,6,11,14,12,15,16,33,11,13,19
13014,0,3,2,1,0,1,1,2,2,2,2,2,0,0,0,2,1,2,1,2,2,1,2,4,3,3,1,3,4,4,0,2,3,3,3,6,5,2,5,6,0,5,5,7,6,4,8,2,6,9
13015,1,0,5,2,2,0,3,2,3,4,2,3,0,0,0,1,1,1,2,6,3,0,2,1,1,7,2,5,7,5,0,1,2,8,3,3,6,4,8,9,0,3,11,3,8,7,12,1,10,6
13016,0,0,1,0,1,0,4,6,2,0,7,2,1,0,1,0,0,2,2,4,4,1,1,2,0,1,1,10,2,9,1,1,2,6,5,3,1,1,12,9,2,2,10,4,1,11,11,2,8,8
13017,0,0,1,0,1,2,1,3,2,0,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,4,2,4,0,0,0,0,1,1,1,3,6,4,0,0,0,2,1,7,6,0,0,2
13025,0,0,3,9,9,11,26,17,25,20,8,5,3,0,4,8,8,13,7,6,8,5,4,9,0,12,20,43,45,13,3,12,21,13,13,13,3,29,68,33,7,29,21,18,12,63,58,15,34,26
13026,0,2,0,0,1,3,1,1,1,0,2,0,0,0,0,1,2,0,2,2,2,0,1,0,2,0,4,2,1,2,0,1,2,4,2,1,2,4,3,2,0,3,6,1,2,6,3,1,6,3
13061,0,0,0,0,1,2,1,1,3,2,4,2,0,0,0,1,2,0,1,1,6,6,4,5,0,0,3,2,5,6,0,1,2,2,12,9,0,3,5,8,0,3,8,15,0,5,11,1,4,21
15001,0,0,2,1,2,3,3,9,10,9,11,4,0,0,0,2,1,0,1,0,0,0,3,1,0,3,5,12,19,15,0,2,1,1,0,4,2,6,22,24,0,3,1,4,3,17,34,2,2,4
15002,0,0,1,1,0,2,1,5,4,5,0,2,1,2,0,0,3,2,6,1,0,1,0,1,0,2,2,6,9,2,3,0,5,7,1,1,1,3,10,7,3,5,7,2,2,8,11,3,12,2
15003,0,0,1,0,5,1,13,12,14,16,13,8,1,1,2,3,3,10,3,3,7,6,9,8,0,1,6,25,30,21,2,5,13,6,13,17,1,6,39,37,4,16,13,23,1,31,51,7,19,30
15004,1,1,1,0,0,2,1,0,5,9,7,2,1,1,0,0,3,2,1,4,5,12,2,3,2,1,2,1,14,9,2,0,5,5,17,5,3,2,6,18,2,5,10,17,3,3,23,2,10,22
15005,0,0,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,1,1,2,3,9,6,2,0,0,2,2,0,2,0,0,1,3,12,8,0,2,2,2,0,1,6,17,0,4,2,0,4,20
15006,0,0,1,1,0,0,0,1,1,3,4,0,0,1,1,0,0,1,2,1,4,1,0,2,0,2,0,1,4,4,1,1,1,3,5,2,1,1,2,7,2,1,7,3,2,1,8,2,4,7
15007,0,0,0,2,3,1,4,7,4,10,9,6,0,3,2,3,1,5,1,3,6,3,5,6,0,2,4,11,14,15,3,5,6,4,9,11,0,6,15,25,5,9,10,14,2,15,29,8,10,20
15008,1,0,0,1,0,0,0,2,2,3,3,3,0,0,0,1,0,0,1,2,1,2,3,4,1,1,0,2,5,6,0,1,0,3,3,7,1,1,4,9,0,1,4,9,2,2,11,1,3,10
15009,1,2,1,3,2,5,2,5,2,2,4,1,0,1,1,2,2,1,0,1,2,3,5,4,3,4,7,7,4,5,1,3,3,1,5,9,4,10,9,7,2,5,3,12,7,14,9,4,4,14
15010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15011,0,1,1,0,1,0,1,0,3,3,2,0,0,1,2,0,3,2,4,1,3,3,1,4,1,1,1,1,6,2,1,2,5,5,6,5,2,1,4,5,3,5,8,8,2,2,8,3,10,11
15012,2,0,2,1,1,1,6,5,9,6,14,9,0,0,2,1,2,2,3,3,5,4,3,4,2,3,2,11,15,23,0,3,4,6,9,7,4,3,20,29,2,5,11,11,5,13,38,3,10,16
15013,0,0,0,0,2,0,2,0,2,1,1,0,0,0,0,0,0,1,0,0,11,5,4,9,0,0,2,2,3,1,0,0,1,0,16,13,0,2,4,2,0,1,11,18,0,4,4,0,1,29
15014,0,0,1,2,0,1,3,7,5,4,4,3,0,1,1,0,2,1,1,5,2,5,4,4,0,3,1,10,9,7,1,1,3,6,7,8,1,3,15,11,2,3,8,13,3,11,16,2,9,15
15015,0,1,5,4,5,3,3,4,5,3,4,5,0,0,0,0,2,9,6,7,7,4,4,2,1,9,8,7,8,9,0,0,11,13,11,6,6,12,12,12,0,11,20,10,10,15,17,0,24,17
15016,0,1,1,1,3,1,6,2,3,1,1,5,0,1,0,1,3,1,1,4,4,9,0,4,1,2,4,8,4,6,1,1,4,5,13,4,2,5,11,7,1,5,9,13,3,12,10,2,9,17
15017,0,1,2,3,0,0,1,3,3,5,5,4,0,1,1,2,1,4,4,0,8,11,7,8,1,5,0,4,8,9,1,3,5,4,19,15,3,3,7,14,2,7,12,26,6,4,17,4,9,34
15018,1,0,1,2,1,2,0,4,0,8,5,3,0,0,0,2,1,2,3,5,6,2,11,12,1,3,3,4,8,8,0,2,3,8,8,23,2,5,4,16,0,5,14,25,4,7,16,2,11,31
15019,0,1,3,1,1,2,2,3,5,4,1,6,0,0,0,0,0,1,0,2,1,7,3,0,1,4,3,5,9,7,0,0,1,2,8,3,4,4,10,11,0,1,3,10,5,8,16,0,3,11
15020,0,0,0,0,0,0,0,0,0,1,5,6,0,0,0,0,0,0,0,0,2,5,2,0,0,0,0,0,1,11,0,0,0,0,7,2,0,0,0,12,0,0,2,7,0,0,12,0,0,9
15021,0,0,0,2,0,1,4,1,2,2,1,0,0,1,1,1,3,0,0,1,2,0,2,0,0,2,1,5,4,1,1,2,3,1,2,2,0,3,7,3,2,4,3,2,2,6,5,3,4,4
15022,0,1,0,3,5,2,3,4,2,5,5,5,0,1,0,5,4,2,5,6,9,10,12,25,1,3,7,7,7,10,1,5,6,11,19,37,1,10,9,15,1,11,20,47,4,14,17,6,17,56
15023,0,0,0,0,2,0,0,5,1,1,3,2,0,0,0,1,0,0,2,1,1,1,4,1,0,0,2,5,2,5,0,1,0,3,2,5,0,2,6,6,0,1,4,6,0,7,7,1,3,7
15024,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,2,0,1,0,0,3,0,0,3,0,1,1,0,2,2,0,2,1,0,3,3,1,1,2,2,0,3,3,3,1,1,4,2,1,6
